transaction_id,created_at,transaction_type,amount,initiator,counterparty,risk_flagged,amount_to_balance_ratio,sender_tx_count_last_5min,is_round_trip,amount_vs_user_avg_ratio
c8a1962f-2c7e-4d87-8f9e-ab77cd6bed87,2026-07-30T08:43:13.462207+00:00,send,483.87,fraud_demo_001,fraud_demo_009,False,0.0048387000000000005,0,0,1.0
6db6cafb-d52d-4f95-a689-2117b78c9daa,2026-07-30T09:17:13.462207+00:00,send,1790.29,fraud_demo_002,fraud_demo_010,False,0.0179029,0,0,1.0
c6d4ecb5-e533-4adb-99ea-9cc2e6830a54,2026-07-30T09:26:13.462207+00:00,send,980.62,fraud_demo_003,fraud_demo_007,False,0.0098062,0,0,1.0
33952aa8-3292-4dd5-97db-fa624d641255,2026-07-30T10:05:13.462207+00:00,send,476.37,fraud_demo_004,fraud_demo_015,False,0.0047637,0,0,1.0
4248420f-1d03-43ae-ba61-affe18b83a71,2026-07-30T10:25:13.462207+00:00,send,1776.54,fraud_demo_005,fraud_demo_014,False,0.0177654,0,0,1.0
38d00635-1164-4eb1-b920-d37dd6357987,2026-07-30T10:36:13.462207+00:00,send,840.17,fraud_demo_006,fraud_demo_016,False,0.0084017,0,0,1.0
b5d53e7a-f638-47b7-8050-aae409c03e64,2026-07-30T11:04:13.462207+00:00,send,1191.98,fraud_demo_007,fraud_demo_012,False,0.011804047152810113,0,0,1.0
70865064-e8cd-41db-a70c-d3abd830c23e,2026-07-30T11:26:13.462207+00:00,send,1720.34,fraud_demo_008,fraud_demo_015,False,0.0172034,0,0,1.0
6a2dbf9c-0408-4fa3-95d6-61d4f57d0c48,2026-07-30T12:02:13.462207+00:00,send,1491.35,fraud_demo_009,fraud_demo_026,False,0.014841685536196008,0,0,1.0
40b3a47a-e85a-47e5-835d-f121bd8279bd,2026-07-30T12:23:13.462207+00:00,send,511.70,fraud_demo_010,fraud_demo_036,False,0.005027002084383491,0,0,1.0
4d910df5-41ff-4a06-8bc2-d4d1b95114f4,2026-07-30T12:38:13.462207+00:00,send,1755.49,fraud_demo_011,fraud_demo_038,False,0.017554900000000002,0,0,1.0
887866d8-94db-4668-9f45-18e86fefd4db,2026-07-30T13:14:13.462207+00:00,send,1568.45,fraud_demo_012,fraud_demo_016,False,0.015499746126125806,0,0,1.0
5afb8f99-b2aa-490c-9765-fb42107e660b,2026-07-30T13:32:13.462207+00:00,send,548.02,fraud_demo_013,fraud_demo_025,False,0.0054802,0,0,1.0
9be98bec-f4eb-4ee4-b752-4993bd41d528,2026-07-30T13:55:13.462207+00:00,send,1016.61,fraud_demo_014,fraud_demo_005,False,0.009988647678531812,0,0,1.0
1386819b-1655-4493-b22c-3c6fade69caf,2026-07-30T14:29:13.462207+00:00,send,855.10,fraud_demo_015,fraud_demo_011,False,0.008367196947925232,0,0,1.0
5e6ea613-a385-4e11-883e-d5dde7c9c217,2026-07-30T14:37:13.462207+00:00,send,2720.17,fraud_demo_016,fraud_demo_015,False,0.026561924181772983,0,0,1.0
68471b4c-9faa-419b-bf57-d3a756333ad5,2026-07-30T15:18:13.462207+00:00,send,812.52,fraud_demo_017,fraud_demo_015,False,0.008125199999999999,0,0,1.0
3ee5ce69-8ab7-450c-8a64-cb95ddc3d16d,2026-07-30T15:38:13.462207+00:00,send,522.45,fraud_demo_018,fraud_demo_022,False,0.005224500000000001,0,0,1.0
fa8b0c0f-a5ea-4b85-a57d-735b7f254f23,2026-07-30T16:05:13.462207+00:00,send,668.83,fraud_demo_019,fraud_demo_010,False,0.0066883,0,0,1.0
5f787888-cb0c-4179-9e8b-67dde20e330f,2026-07-30T16:30:13.462207+00:00,send,523.80,fraud_demo_020,fraud_demo_036,False,0.005238,0,0,1.0
e4d47b06-9fc9-4172-af20-c3aab01fcf3d,2026-07-30T16:37:13.462207+00:00,send,457.71,fraud_demo_021,fraud_demo_027,False,0.0045771,0,0,1.0
13435364-853a-41e3-b6a4-37fbd1a10dd4,2026-07-30T17:13:13.462207+00:00,send,607.93,fraud_demo_022,fraud_demo_008,False,0.00604770377164504,0,0,1.0
f58aad67-0005-49a3-acc2-aaf4cd22d0c1,2026-07-30T17:38:13.462207+00:00,send,461.29,fraud_demo_023,fraud_demo_040,False,0.0046129000000000005,0,0,1.0
45c03e17-7565-4cbb-ac14-29a6e8cda7b8,2026-07-30T17:48:13.462207+00:00,send,531.13,fraud_demo_024,fraud_demo_035,False,0.0053113,0,0,1.0
1d927579-41a1-4598-b241-bdf3c877e403,2026-07-30T18:20:13.462207+00:00,send,1300.21,fraud_demo_025,fraud_demo_008,False,0.012931234250062805,0,0,1.0
62e77489-512c-4f47-8f64-ec077d6bcfbe,2026-07-30T18:50:13.462207+00:00,send,469.45,fraud_demo_026,fraud_demo_022,False,0.004625517347044846,0,0,1.0
595d4ab3-7fe6-4a2f-9425-aad6797a81d5,2026-07-30T19:05:13.462207+00:00,send,574.20,fraud_demo_027,fraud_demo_001,False,0.0057158380377175634,0,0,1.0
62d7e3a3-ca6a-4d88-bf4f-f23a2a733450,2026-07-30T19:30:13.462207+00:00,send,530.21,fraud_demo_028,fraud_demo_034,False,0.0053021000000000006,0,0,1.0
